TransactionID,Items
1,"Milk,Bread,Eggs"
2,"Milk,Diapers,Beer,Eggs"
3,"Milk,Bread,Diapers,Beer"
4,"Bread,Diapers,Beer,Eggs"
5,"Milk,Bread,Diapers,Eggs"
6,"Bread,Butter"
7,"Milk,Bread"
8,"Bread,Eggs"
9,"Milk,Butter"
10,"Diapers,Beer,Eggs"
11,"Milk,Diapers,Beer,Eggs"
12,"Milk,Bread,Eggs"
13,"Bread,Diapers,Butter,Eggs"
14,"Milk,Diapers,Butter"
15,"Milk,Bread,Butter,Eggs"
16,"Bread,Diapers,Beer,Butter,Eggs"
17,"Milk,Bread,Diapers"
18,"Bread,Eggs"
19,"Milk,Beer"
20,"Bread,Butter,Eggs"
21,"Milk,Bread,Eggs"
22,"Bread,Butter,Eggs"
23,"Milk,Diapers,Eggs"
24,"Milk,Bread,Beer"
25,"Bread,Diapers"
26,"Milk,Eggs"
27,"Bread,Beer"
28,"Diapers,Butter"
29,"Milk,Diapers,Beer"
30,"Milk,Bread,Eggs"
31,"Bread,Diapers,Butter"
32,"Milk,Beer,Eggs"
33,"Milk,Bread,Diapers,Butter"
34,"Bread,Eggs,Butter"
35,"Milk,Beer,Eggs"
36,"Diapers,Beer,Eggs"
37,"Milk,Bread,Diapers"
38,"Bread,Butter"
39,"Milk,Diapers"
40,"Bread,Eggs"
41,"Milk,Bread,Beer"
42,"Diapers,Beer,Butter"
43,"Milk,Eggs"
44,"Bread,Butter,Eggs"
45,"Milk,Diapers,Beer,Eggs"
46,"Bread,Diapers,Beer"
47,"Milk,Bread,Butter,Eggs"
48,"Diapers,Beer,Eggs"
49,"Milk,Bread,Butter"
50,"Bread,Diapers,Eggs"
51,"Milk,Diapers,Beer"
52,"Milk,Bread,Eggs"
53,"Bread,Diapers,Butter,Eggs"
54,"Milk,Butter"
55,"Milk,Bread,Diapers,Eggs"
56,"Bread,Eggs"
57,"Milk,Beer"
58,"Bread,Butter,Eggs"
59,"Milk,Diapers,Beer,Eggs"
60,"Milk,Bread,Diapers"
61,"Bread,Diapers,Eggs"
62,"Milk,Eggs"
63,"Bread,Butter"
64,"Milk,Diapers,Beer"
65,"Milk,Bread,Eggs"
66,"Diapers,Beer,Eggs"
67,"Milk,Bread,Diapers"
68,"Bread,Butter,Eggs"
69,"Milk,Beer,Eggs"
70,"Milk,Diapers,Butter"
71,"Bread,Diapers,Eggs"
72,"Milk,Bread,Eggs"
73,"Bread,Butter"
74,"Milk,Diapers,Beer"
75,"Milk,Bread,Eggs"
76,"Bread,Diapers,Butter,Eggs"
77,"Milk,Beer"
78,"Bread,Butter,Eggs"
79,"Milk,Diapers,Eggs"
80,"Milk,Bread,Beer"
81,"Bread,Diapers"
82,"Milk,Eggs"
83,"Bread,Beer"
84,"Diapers,Butter"
85,"Milk,Diapers,Beer"
86,"Milk,Bread,Eggs"
87,"Bread,Diapers,Butter"
88,"Milk,Beer,Eggs"
89,"Milk,Bread,Diapers,Butter"
90,"Bread,Eggs,Butter"
91,"Milk,Beer,Eggs"
92,"Diapers,Beer,Eggs"
93,"Milk,Bread,Diapers"
94,"Bread,Butter"
95,"Milk,Diapers"
96,"Bread,Eggs"
97,"Milk,Bread,Beer"
98,"Diapers,Beer,Butter"
99,"Milk,Eggs"
100,"Bread,Butter,Eggs"
101,"Milk,Diapers,Beer,Eggs"
102,"Bread,Diapers,Beer"
103,"Milk,Bread,Butter,Eggs"
104,"Diapers,Beer,Eggs"
105,"Milk,Bread,Butter"
106,"Bread,Diapers,Eggs"
107,"Milk,Diapers,Beer"
108,"Milk,Bread,Eggs"
109,"Bread,Diapers,Butter,Eggs"
110,"Milk,Butter"
111,"Milk,Bread,Diapers,Eggs"
112,"Bread,Eggs"
113,"Milk,Beer"
114,"Bread,Butter,Eggs"
115,"Milk,Diapers,Beer,Eggs"
116,"Milk,Bread,Diapers"
117,"Bread,Diapers,Eggs"
118,"Milk,Eggs"
119,"Bread,Butter"
120,"Milk,Diapers,Beer"
121,"Milk,Bread,Eggs"
122,"Diapers,Beer,Eggs"
123,"Milk,Bread,Diapers"
124,"Bread,Butter,Eggs"
125,"Milk,Beer,Eggs"
126,"Milk,Diapers,Butter"
127,"Bread,Diapers,Eggs"
128,"Milk,Bread,Eggs"
129,"Bread,Butter"
130,"Milk,Diapers,Beer"
131,"Milk,Bread,Eggs"
132,"Bread,Diapers,Butter,Eggs"
133,"Milk,Beer"
134,"Bread,Butter,Eggs"
135,"Milk,Diapers,Eggs"
136,"Milk,Bread,Beer"
137,"Bread,Diapers"
138,"Milk,Eggs"
139,"Bread,Beer"
140,"Diapers,Butter"
141,"Milk,Diapers,Beer"
142,"Milk,Bread,Eggs"
143,"Bread,Diapers,Butter"
144,"Milk,Beer,Eggs"
145,"Milk,Bread,Diapers,Butter"
146,"Bread,Eggs,Butter"
147,"Milk,Beer,Eggs"
148,"Diapers,Beer,Eggs"
149,"Milk,Bread,Diapers"
150,"Bread,Butter"
